PH level (0-14),Hardness (mg/L),Dissolved Oxygen (mg/L),Biological Oxygen Demand (mg/L),Heavy Metals (mg/L),Nitrates (mg/L),Phosphates (mg/L),Turbidity (NTU),Conductivity (µ/cm),Water Type Probability
7.33,127.41,11.44,17.18,0.006,17.06,1.38,79.26,1813.05,Inorganic
7.04,492.6,2.3,19.98,0.1548,1.25,3.09,66.01,373.25,Inorganic
7.74,94.45,5.64,13.23,0.3318,35.26,3.69,56.31,1758.9,Inorganic
5.81,447.29,3.17,10.91,0.1918,39.16,0.3,87.39,1516.56,Inorganic
8.76,451.79,10.42,18.86,0.3141,46.59,1.17,80.96,1668.78,Inorganic
6.19,444.12,13.33,18.13,0.4943,28.96,2.53,47.36,754.95,Inorganic
6.29,185.87,13.72,6.65,0.3846,41.26,1.27,82.65,1686.68,Organic
6.3,221.75,13.1,6.21,0.2766,45.9,1.86,74.19,536.84,Organic
7.65,345.71,10.83,21.24,0.212,1.66,1.2,44.89,1113.68,Inorganic
8.81,79.41,2.5,14.11,0.3377,46.87,4.01,46.32,1064.92,Organic
6.3,352.18,6.91,21.95,0.121,15.71,0.78,13.83,1305.54,Inorganic
6.81,419.37,9.18,2.82,0.2609,17.17,1.69,18.84,865.85,Organic
6.97,289.73,9.67,8.15,0.4284,37.36,3.13,89.88,1755.43,Organic
6.92,182.83,13.31,15.21,0.3427,41.31,4.87,83.6,1222.27,Organic
8.67,384.3,5.11,17.04,0.2254,42.2,2.31,86.13,1525.59,Inorganic
8,90.67,13.02,23.42,0.4068,17.46,4.13,52.71,79.08,Inorganic
5.55,140.75,12.99,4.81,0.3309,43.15,2.24,86.8,674.98,Organic
7.89,150.6,12.07,23.37,0.0323,2.48,4.17,83.25,1614.38,Inorganic
8.23,127.33,6.47,15.29,0.0034,0.53,3.41,87.69,859.71,Inorganic
6.47,253.86,6.14,5.28,0.294,13.68,3.2,9.93,1747.82,Organic
7.88,137.59,8.14,9.67,0.2396,23.2,2.34,24.61,706.93,Organic
5.78,50.85,12.17,9.3,0.4438,13.93,0.72,34.63,1877.69,Inorganic
6.15,349.94,8.44,12.83,0.182,32.06,4.54,50.84,1744.9,Organic
7.33,75.69,9.65,15.47,0.1773,28.37,1.4,8.99,1374.62,Organic
7.44,54.68,12.18,12.06,0.13,36.54,0.65,24.11,987.85,Organic
8.19,498.12,11.64,6.23,0.4304,3.15,4.35,50.28,1272.68,Inorganic
5.61,436.62,8.05,22.49,0.0332,27.66,0.34,14.43,685.37,Inorganic
7.71,375.02,6.54,20.09,0.0578,21.16,0.35,92.44,1400.33,Inorganic
8.86,307.77,10.72,15.04,0.3614,26.21,4.15,59.43,1121.16,Inorganic
8.14,214.98,4.35,8.69,0.0541,35.35,2.15,92.45,469.37,Inorganic
7.63,485.8,13.1,29.86,0.1516,26.15,0.48,57.35,1343.69,Inorganic
6.35,314.28,9.04,28.27,0.0647,43.65,3.5,62.25,890.29,Inorganic
6.55,415.77,6.16,3.35,0.2562,12.17,1.44,62.83,77.15,Inorganic
6.1,474.72,3.77,23.42,0.2546,45.62,3.61,94.21,461.72,Inorganic
8.57,479.94,2.92,2.39,0.2291,2.02,2.93,30.88,1759.52,Inorganic
6.91,308.33,7.11,14.95,0.2299,19.11,3.07,26.17,1223.42,Inorganic
7.69,231.17,3.56,4.39,0.4152,18.49,1.33,92.5,914.67,Inorganic
7.49,474.17,5.36,2.92,0.0833,16.94,2.99,26.76,141.05,Organic
6.87,148.33,3.59,29.83,0.2059,8.58,3.97,70.86,1938.77,Inorganic
6.11,271.39,8.34,13.83,0.3898,43.29,4.79,88.71,128.95,Organic
6.68,313.07,8.42,4.51,0.4677,0.66,0.25,90.89,1758.66,Inorganic
5.8,192.45,9.11,19.98,0.1677,44.14,3.32,42.19,1908.8,Organic
6.64,221.89,2.65,29.18,0.3432,46.1,4.96,20.25,1116.84,Inorganic
8.84,425.28,4.27,21.6,0.0993,22.92,4.7,9.07,867.24,Inorganic
6.27,105,7.05,17.94,0.1092,28.98,4.49,67.21,1273.17,Inorganic
8.17,493.05,11.59,23.77,0.1842,26.58,0.77,95.32,73.82,Inorganic
6.57,493.71,12.23,21.64,0.3792,21.47,1.31,34.07,209.99,Inorganic
8.67,66.44,13.82,14.82,0.4906,11.5,2.28,54.56,789.82,Inorganic
5.65,247.04,2.09,18.97,0.2552,46.17,0.17,66.69,1844.72,Inorganic
6.91,296.9,8.64,20.57,0.185,46.35,4.34,67.47,151.29,Inorganic
8.52,384.37,8.69,20.49,0.1273,34.08,1.99,20.08,586.78,Inorganic
8.78,277.05,2.41,22.97,0.0687,23.86,1.54,1.94,1334.56,Inorganic
8.16,431.64,2.21,28.91,0.4494,20.2,4.07,62.27,197.37,Inorganic
7.74,156.2,6.79,20.21,0.1032,21.76,4.13,71.94,1749.76,Inorganic
7.83,139.4,5.67,5.77,0.0613,40.24,3.88,14.49,855.79,Organic
8.37,120.01,4.27,25.09,0.2159,40.77,2.97,51.55,920.86,Inorganic
7.38,390.41,10.67,19.01,0.0844,47.93,2.35,37.73,662.34,Organic
6.79,334.25,2.02,17.22,0.4998,0.51,4.88,48.21,1088.64,Inorganic
8.09,429.01,6.11,22.72,0.0274,21.67,1.32,74.46,121.95,Inorganic
7.56,218.99,6.97,20.13,0.248,30.13,1.46,91.38,1024.1,Inorganic
7.03,313.34,2.04,5.51,0.2347,47.06,4.24,63.94,743.98,Organic
6.3,428.22,11.18,5.12,0.1289,0.81,0.6,55.57,1576.58,Inorganic
8.4,486.67,10.34,17,0.1185,2.78,2.29,27.93,498.14,Inorganic
7.55,490.01,13.78,18.13,0.0122,23.7,4.93,31.52,1696.74,Organic
7.5,390.2,13.03,13.38,0.4719,35.39,3.72,43.79,1545.46,Organic
7.49,433.92,5.33,19.67,0.0962,14.08,1.01,74.79,194.09,Inorganic
8.98,389.93,9.37,9.88,0.3268,23.85,2.73,1.52,165.15,Organic
8.62,95.42,13.55,6.73,0.0685,29.26,3,69.27,1762.59,Organic
7.24,254.34,9.28,11.24,0.2496,7.64,1.3,7.03,1341.22,Inorganic
6.47,93.95,10.3,20.9,0.1366,15.37,3.15,44.08,120.64,Inorganic
6.18,424.57,13.28,21.77,0.0445,49.97,3.66,99.39,186.86,Organic
5.71,479,6.44,22.72,0.093,28.23,1.7,62.99,433.46,Inorganic
7.37,444.46,12.32,12.75,0.0355,7.75,1.03,54,1540.09,Inorganic
7.26,310.07,6.79,9.99,0.1697,37.51,1.52,78.75,370.95,Organic
7.34,241.31,10.47,29.44,0.2379,48.34,0.5,83.62,80.87,Inorganic
7.71,248.05,2.67,28.2,0.258,13.33,4.77,73.7,1862.63,Inorganic
5.7,179.27,10.27,22.76,0.3257,34.96,0.06,93.93,735.91,Inorganic
8.44,335.7,12.15,10.98,0.0248,18,3.83,4.56,1452.44,Organic
6.2,144.52,10.24,12.21,0.3362,5.04,0.94,26.34,382.38,Inorganic
8.03,333.48,3.71,13.82,0.114,4.24,4.66,93.31,1016.23,Inorganic
6.82,489.08,7.2,28.86,0.1604,24.21,0.3,21.81,1426.03,Inorganic
7.46,280.01,7.86,21.33,0.1042,13.51,2.72,74.88,1242.29,Inorganic
7.63,105.35,11.2,27.2,0.1464,5.95,0.41,23.68,359.42,Inorganic
6.67,272.93,8.49,6.62,0.0817,28.73,4.29,53.84,1405.93,Organic
6.7,351.86,6.59,28.01,0.4622,42.65,3.17,90.17,1585.34,Inorganic
6.89,95.58,10.39,1.91,0.4441,31.82,2.57,19.22,323.88,Organic
7.97,151.96,7.9,3.08,0.0193,28.19,3.63,77.09,731.41,Organic
6.03,404.2,4.87,4.75,0.2648,14.37,1.47,58.85,592.06,Inorganic
6.56,477.06,3.07,4.17,0.0104,34.55,1.04,79.58,1086.24,Organic
8.36,296.3,7.91,14.49,0.0975,40.73,3.18,8.72,592.02,Organic
8.46,332.01,7.13,1.6,0.3993,38.93,1.96,63.47,1351.09,Organic
8.31,291.73,11.22,29.95,0.0515,46.58,1.51,43.98,462.91,Inorganic
6.6,178.58,6.8,3.66,0.4719,42.55,3.79,42.34,1346.4,Organic
6.29,217.71,9.93,25.08,0.1602,15.4,0.49,79.96,1786.77,Inorganic
8.72,292.79,8.65,24.52,0.4078,7.17,1.73,58.77,380.69,Inorganic
8.17,404.78,2.48,3.25,0.2628,15.94,1.26,85.01,1642.78,Inorganic
8.77,428.21,3.08,17.76,0.1809,5.06,4.92,60.53,1575.28,Inorganic
8.72,403.17,11.9,17.34,0.375,32.37,1.94,86.7,1899.15,Inorganic
6.94,456,4.26,17.41,0.3766,34.14,2.9,87.47,1379.75,Inorganic
8.8,249.52,13.25,25.24,0.3187,33.23,2.87,49.01,1805.3,Inorganic
6.93,217.08,5,3.4,0.0339,29.85,4.7,2.39,1476.91,Organic
8.11,182.96,4.02,3.4,0.4107,28.44,2.38,61.47,1872,Organic
6.94,315.71,4.08,2.56,0.3265,5.27,3.7,27.91,1202.51,Inorganic
8.15,371.05,10.81,11.46,0.4959,29.55,4.02,4.19,1877.47,Organic
6.05,466.69,7.21,3.87,0.2452,6.36,0.41,28.79,51.02,Inorganic
8.02,87.33,4.13,29.17,0.0189,37.46,2.29,61.3,1533.68,Inorganic
5.99,217.37,11.88,8.53,0.3414,48.08,3.71,43.52,975.81,Organic
7.23,53.69,9.95,26.71,0.2398,3.9,1.99,84.59,1443.19,Inorganic
8.09,142.04,12.9,25.53,0.19,37.11,2.37,10.57,402.37,Inorganic
8.02,331.58,8.29,2.64,0.2321,12.23,4.8,91.61,1264.61,Inorganic
8.13,298.02,9.19,17.17,0.0272,7.92,4.16,95.17,1272.12,Inorganic
6.05,285.62,3.41,9.77,0.1557,30.31,0.55,85.45,1070.3,Inorganic
7.45,246.14,5.76,9.81,0.0099,42.39,0.3,60.33,876.22,Organic
5.89,491.82,12.88,7.14,0.1159,35.23,3.6,67.51,1944.06,Organic
6.16,151.12,10.05,11.9,0.3047,22.16,2.98,45.46,1241.71,Inorganic
7.83,381.13,5.21,14.77,0.2579,32.52,2.39,59.64,1350.75,Inorganic
6.76,485.5,6.07,8.91,0.1881,23.32,0.6,73.44,421.56,Inorganic
6.39,101.62,11.03,16.52,0.3815,21.18,3.7,18.05,1413.69,Inorganic
8.17,125.83,11.89,13.62,0.0913,2.97,1.73,1.43,1539.44,Inorganic
7.68,50.01,7.25,7.03,0.1644,33.02,4.23,99.35,794.01,Organic
6.98,340.81,6.59,7.36,0.1802,10.21,2.45,43.22,1913,Inorganic
7.91,366.92,6.1,16.46,0.2947,13.2,4.37,67.21,57.5,Inorganic
6,427.15,9.35,18.48,0.2336,48.17,3.17,78.46,982.21,Organic
7.61,374.76,8.35,26.97,0.3941,35.83,2.19,32.21,887.69,Inorganic
7.4,95.66,4.03,21.87,0.248,3.07,0.94,68.86,1439.01,Inorganic
8.77,436.11,9.81,4.79,0.4423,15.41,2.92,29.49,782.82,Organic
7.48,378.64,5.68,4.75,0.4481,9.96,3.4,0.78,1513.08,Inorganic
8.77,457.02,3.31,22.3,0.1885,46.26,1.75,1.38,1823.15,Inorganic
7.11,311.07,5.76,22.81,0.3236,23.99,0.61,11.72,885.47,Inorganic
5.89,192.95,2.12,27.79,0.2194,9.4,2.09,90.41,377.71,Inorganic
5.62,476.28,3.92,26.75,0.3672,31.6,0.78,44.55,1660.14,Inorganic
7.78,177.06,3.54,10.18,0.1649,49.56,4.7,81.95,287.91,Organic
7.88,112.18,11.29,13.92,0.1837,44.86,3.12,64.49,316.19,Organic
6.26,430.39,2.08,28.43,0.2802,49.83,4.42,85.98,1880.6,Inorganic
8.8,352.04,4.08,19.37,0.4588,45.67,2.5,11.76,1007.62,Inorganic
6.44,342.7,7.47,27.69,0.3323,47.13,1.55,5.03,897.05,Inorganic
7.47,396.55,5.95,17.39,0.1853,1.6,0.86,28.98,492.4,Inorganic
7.11,202.63,8.88,23.85,0.1608,17.04,1.67,91.4,392.56,Inorganic
7.47,252.73,7.62,23.59,0.1557,0.44,2.76,60.58,1476.52,Inorganic
7.39,201.29,2.4,22.25,0.3105,21.15,2.46,35.12,1532.61,Inorganic
5.54,97.7,9.73,3.33,0.2477,44.17,0.64,61.51,371.85,Organic
7,271.31,11.96,20.33,0.3529,38.09,3.64,87.81,875.69,Inorganic
8.08,338.74,2.34,26.54,0.1177,31.57,2.77,8.47,352.31,Inorganic
6.08,278.17,9.09,7.96,0.4933,15.16,4.93,92.18,1632.4,Inorganic
8.62,111.48,10.11,23.47,0.478,17.76,4.07,91.14,389.08,Inorganic
5.93,153.63,4.1,18.39,0.2459,31.03,1.01,57.22,1922.1,Inorganic
6.67,428.71,7.13,4.86,0.2714,1.3,3.73,67.73,1358.35,Inorganic
8.44,195.57,12.48,15.83,0.3909,29.61,0.12,1.78,352.99,Organic
5.94,295.24,4.24,19.8,0.0885,24.17,1.71,44.8,1099.83,Inorganic
8.8,269.74,8.82,13.54,0.3709,45.52,4.29,61.93,826.95,Organic
7.77,416.82,5.79,28.54,0.1481,43.2,1.16,63.1,1553.91,Inorganic
5.79,483.29,7.88,26.9,0.3843,41.44,1.13,57.68,725.01,Inorganic
8.83,105.57,6.37,9.15,0.3955,28.51,4.2,46.34,946.84,Inorganic
6.4,165.51,8.65,29.37,0.2671,32.59,0.8,84.48,82.16,Inorganic
8.48,135.91,4.94,6.1,0.1316,41.11,0.41,65.56,1170.05,Organic
5.99,67.93,2.68,9.27,0.2239,7.22,2.03,23.28,502.42,Inorganic
6.95,420.79,4.95,8.06,0.0981,39.99,0.51,98.04,263.33,Organic
6.21,279.75,7.36,25.36,0.1112,1.2,0.38,54.16,170.85,Inorganic
7.76,335.09,4.52,8.84,0.1683,32.87,3.38,96.4,1373.68,Inorganic
7.17,397.17,11.87,17.1,0.3518,7.14,3.46,58.59,599.65,Inorganic
8.13,67.14,2.51,28.38,0.0044,31.62,0.17,2.75,1252.4,Inorganic
7.8,422.64,13.05,10.46,0.1859,12.32,4.75,62.37,67.66,Inorganic
6.28,488.77,9.52,4.9,0.25,35.5,3.69,44.94,409,Organic
6.89,347.9,13.6,8.38,0.4641,26.64,4.5,6.02,1118.62,Organic
7.8,363.39,11.66,8.79,0.2888,31.95,4.59,6.29,1232.23,Organic
8.76,52.44,8.99,22.56,0.3599,31.85,3.13,77.25,405.14,Inorganic
8.77,450.38,2.17,26.16,0.1314,49.51,0.41,69.74,1654.68,Inorganic
7.82,171.26,7.15,18.99,0.4652,37.87,4.02,15.64,1904.39,Inorganic
6.72,368.86,2.11,14.1,0.3877,48.27,3.57,72.74,304.14,Inorganic
7.07,117.63,6.85,25.86,0.2365,31.48,3.55,69.77,1250.74,Inorganic
5.52,405.32,2.97,4.25,0.2582,0.51,3.86,96.83,1774.79,Inorganic
7.59,391.13,4.41,20.92,0.4778,31.64,4.64,26.01,355.35,Inorganic
6.09,125.13,12.8,9.53,0.2159,32.58,4.08,38.32,1469.17,Organic
8.85,307.94,10.33,28.38,0.2355,22.06,4.15,88.97,1993.83,Inorganic
5.9,153.16,10.84,25.72,0.1004,19.75,4.76,10.58,173.51,Inorganic
8.51,353.45,9.59,26.1,0.1455,5.04,0.99,96.9,1509.65,Inorganic
8.54,83.28,10.72,21.68,0.2184,14.06,0.44,33.96,1602.57,Inorganic
5.89,318.65,13.84,18.22,0.4258,35.24,3.75,28.65,722.84,Organic
8.12,88.76,7.79,21.03,0.3674,14.26,4.22,10.03,424.66,Inorganic
8.62,152.33,9.41,21.2,0.3271,46.93,1.42,74.93,239.26,Inorganic
8.37,165.46,13.35,21.5,0.2386,48.64,1.41,81.17,654.19,Organic
7.33,76.95,6.55,25.9,0.2645,32.57,4.89,60.48,188.34,Inorganic
7.21,126.62,2.09,13.73,0.4225,23.21,0.89,94.85,86.97,Inorganic
6.13,362.41,9.97,27.69,0.2471,37.14,2.97,36.12,455.53,Inorganic
8.43,178.87,10.93,18.12,0.2365,23.65,0.1,45.03,603.44,Inorganic
8.9,478.43,2.46,13.36,0.4714,15.77,4.17,73.36,1825,Inorganic
7.39,383.13,5.97,15.85,0.2195,40.29,1.78,7.85,306.39,Organic
8.33,405.84,7.56,10.17,0.4785,47.88,4.38,23.98,802.12,Organic
7.48,163.34,8.93,6.93,0.1209,48.35,4.02,63.95,456.7,Organic
8.99,69.94,11.95,14.38,0.278,38.37,1.26,40.44,547.26,Organic
5.89,477.54,10.44,1.76,0.4928,36.2,3.23,43.94,1591.44,Organic
6.28,113.88,2.47,29.24,0.1125,43.45,4.02,33.11,1883.2,Inorganic
7.8,472.84,3.86,21.85,0.4658,20.67,0.25,66.13,197,Inorganic
7.28,454.15,5.9,23.28,0.4654,49.71,2.37,42.51,1009.63,Inorganic
9,383.7,2.87,20.93,0.1472,38.36,2.02,36.35,1368.9,Inorganic
7.22,166.01,6.29,3.38,0.2877,11.37,4.53,8.2,233.06,Organic
7.24,496.35,7.7,21.18,0.3565,18.23,0.29,84.5,75.06,Inorganic
7.55,175.33,13.64,12.79,0.3786,18.69,1.1,1.26,1269.32,Organic
8.73,222.23,4.39,6.22,0.01,16.16,4.31,64.37,1594.08,Inorganic
7.61,154.87,13.78,21.12,0.2235,29.4,4.45,49.69,1731.56,Inorganic
8.2,379.49,8.2,25.79,0.3939,12.1,1.03,75.1,1526.24,Inorganic
5.54,148.34,12.49,24.2,0.2114,1.26,0.15,66.03,1886.73,Inorganic
7.42,481.68,4.49,26.68,0.0601,14.01,4.29,90.96,583.96,Inorganic
5.76,233.53,5.09,1.85,0.241,47.09,1.15,62.13,1149.51,Organic
6.91,128.27,10.86,24.77,0.0299,8.59,0.6,51.19,1379.74,Inorganic
6.98,203.05,12.22,11.84,0.2512,18.18,0.92,20.9,1036.71,Organic
5.56,376.17,5.06,13.41,0.3821,29.92,1.98,78.89,574.89,Inorganic
8.5,130.07,2.75,8.41,0.1467,40.19,1.57,51.96,381.8,Organic
6.22,181.66,8.41,17.33,0.2272,31.18,0.81,56.64,90.25,Inorganic
8.39,395.03,12.3,23.83,0.2058,18.64,0.89,5.65,1089.02,Inorganic
7.53,445.93,13.73,12.69,0.101,21.46,0.69,69.83,98.68,Inorganic
7,242.11,5.35,21.07,0.4422,45.61,4.78,55.57,184.64,Inorganic
8.64,145.31,3.57,5.67,0.2903,2.16,1.93,47.82,777.25,Inorganic
5.79,59.74,6.07,13.68,0.4717,1.32,1.67,79.26,1189.62,Inorganic
7.36,153.62,13.93,27.12,0.0682,14.16,3.19,88.2,1098.5,Inorganic
6.03,355.43,9.96,27.09,0.3164,9.03,4.25,77.7,724.69,Inorganic
7.87,284.46,10.16,28.73,0.4547,20.94,1.08,59.9,1573.86,Inorganic
8.16,375.42,4.11,3.82,0.1515,48.42,2.1,17.75,1801.38,Organic
8.95,134.37,12.91,29.68,0.4789,28.89,1.87,90.2,1515.31,Inorganic
8.02,259.45,2.4,29.46,0.2292,15.45,2.36,83.06,492.49,Inorganic
8.75,408.41,13.62,9.51,0.216,10.31,0.24,63.01,1110.61,Inorganic
5.57,313.4,2.83,18.93,0.2318,23.31,2.22,7.37,1362.65,Inorganic
8.48,222.37,12.09,17.98,0.4102,40.28,2.69,88.55,327.73,Inorganic
6.54,155.88,9.16,14.8,0.422,29.49,0.05,77.96,1537.23,Inorganic
8.77,456.29,4.06,29.9,0.0465,41.56,0.31,41.46,73.93,Inorganic
7.52,250.09,6.46,20.13,0.3095,13.79,2.43,21.46,1754.16,Inorganic
6.38,137.81,11.62,24.29,0.1372,19.85,2.99,42.21,368.17,Inorganic
7.06,438.67,9.56,27.63,0.1619,14.69,0.92,88.39,1422.53,Inorganic
6.97,390.93,4.93,26.9,0.4441,40.84,0.83,17.2,989.46,Inorganic
6.37,254.43,8.43,19.84,0.2387,38.18,1.75,92.91,985.65,Inorganic
9,198.99,7.82,10.98,0.1567,31.31,3.11,7.51,152.82,Organic
6.7,293.8,13.43,29.47,0.3783,42.22,2.12,25.65,74.26,Inorganic
6.09,260.54,11.92,5.42,0.2958,10.18,0.59,15.16,334.93,Organic
8,316.59,12.2,4.62,0.2952,21.47,2.7,19.49,1383.29,Organic
6.77,436.8,7.14,14.34,0.4138,42.37,4.8,77.09,1130.19,Inorganic
8.3,482.92,8.55,27.93,0.4896,38.26,0.5,78.32,313.16,Inorganic
7.71,318.37,9.16,13.41,0.1525,36.71,3.16,95.5,1740.5,Inorganic
8.54,371.54,2.2,21.52,0.1627,24.81,4.77,96.77,319.76,Inorganic
8.69,125.46,11.34,2.67,0.1871,45.75,0.65,5.26,183.94,Organic
5.96,138.34,3.81,10.28,0.0058,40.65,0.54,70.19,1798.73,Organic
6.68,116.78,12.79,4.82,0.4158,38.99,1.99,48.03,377.38,Organic
8.09,410.6,12.45,27.39,0.4203,41.82,4.46,21.39,194.4,Inorganic
6.61,404.73,2.83,26.47,0.0979,10.29,3.61,5.83,1157.53,Inorganic
8.19,81.05,4.5,13.29,0.0442,47.34,0.57,58.14,1620.64,Organic
7.77,74.04,3.68,3.64,0.4657,7.96,3.45,2.06,903.81,Inorganic
7.29,206.52,8.77,8.4,0.3601,21.5,4.21,6.54,380.09,Organic
7.34,290.13,4.39,10.15,0.2441,43.46,4.05,80.27,1592.09,Organic
6.15,225.07,12.97,19.77,0.3569,10.27,1.02,57.01,1052.5,Inorganic
5.82,485.24,12.87,3.67,0.4145,39.3,1.71,16.88,1566.29,Organic
7.13,59.15,6.63,19.08,0.2845,1.4,0.87,47.9,169.57,Inorganic
8.7,473.65,13.98,10.06,0.3731,18.64,2.44,93.98,271.18,Inorganic
7.53,125.95,6.41,16.05,0.467,47.86,3.33,48.92,1719.98,Organic
6.52,306.78,3.98,2.93,0.1963,10.98,4.5,39.55,893.68,Inorganic
8.25,67.22,3.78,25.48,0.3862,32.07,0.45,87.37,1716.05,Inorganic
7.82,239.05,5.94,5.81,0.1339,13.05,2.47,14.92,694.55,Organic
6.67,298,6.04,11.15,0.0772,7.66,0.23,60.6,124.77,Inorganic
7.63,348.41,4.18,11.35,0.2736,4.61,4.23,56.14,866.32,Inorganic
8.43,236.9,11.6,25.26,0.1307,43.46,3.21,74,416.95,Inorganic
7.95,399.58,9.29,16.18,0.404,30.62,3.92,31.2,884.15,Inorganic
7.9,224.26,5.44,16.69,0.4832,10.68,0.14,3.97,840.88,Inorganic
8.86,417.69,5.24,10.36,0.4608,40.02,1.85,2.85,1126.46,Organic
6.35,308.3,2.06,28.66,0.2898,6.02,1.17,34.82,1983.56,Inorganic
7.96,77.89,12.45,28.08,0.0543,10,1.08,21.37,611.72,Inorganic
5.7,110.32,10.99,22.28,0.3242,7.25,4.34,41.64,600.28,Inorganic
8.87,127.32,9.48,13.19,0.177,17.04,0.65,0.82,1925.99,Inorganic
8.46,55.18,9.82,12.9,0.3733,1.45,1.57,30.55,83.65,Inorganic
5.88,271.5,11.82,15.1,0.4004,4.23,1.14,54.33,1027.23,Inorganic
5.97,226.35,12.2,11.6,0.0344,24.33,1.72,92.53,700.61,Inorganic
7.94,112.5,4.93,1.01,0.4625,20.01,1.67,31.53,483.41,Organic
5.55,242.56,8.22,16.53,0.0155,22.29,0.09,84.37,610.43,Inorganic
7.22,64.34,7.33,16.88,0.3136,26.82,4.06,5.34,1540.46,Inorganic
6.54,297.18,8.94,22.4,0.264,17.35,1.65,99.72,1958.72,Inorganic
7.9,330.76,8.98,27.73,0.4433,2.02,4.06,76.79,553.73,Inorganic
5.59,385.94,6.77,14.54,0.344,21.67,0.33,68.63,1610.85,Inorganic
5.94,484.63,13,24.58,0.4424,43.83,4.68,52.86,483.81,Inorganic
8.58,266.23,9.84,16.17,0.3747,43.59,3.72,35.64,675.74,Organic
7.39,369.18,5.45,18.6,0.4203,28.87,0.26,26.64,761.47,Inorganic
8.97,417.6,8.69,4.16,0.0854,11.43,4.73,40.22,625.53,Organic
7.53,476.85,8.08,21.09,0.1848,46.94,3.45,34.89,1911.21,Organic
7.62,445.92,7.54,20.05,0.1837,32.85,3.84,62.32,1852.52,Inorganic
6.97,335.7,2.4,1.84,0.2159,9.87,2.27,27.92,234.81,Inorganic
5.61,123.51,12.52,22.93,0.4587,31.42,2.78,45.12,1705.09,Inorganic
5.74,460.86,12.95,4.39,0.125,41.56,4.24,41.37,1051.63,Organic
6.24,478.1,3.91,22.18,0.4593,28.02,0.29,21.31,1089.87,Inorganic
6.41,478.99,7.71,18.49,0.1196,33.77,2.58,0.86,1305.44,Organic
6.06,232.8,6.37,20.93,0.4657,46.7,0.04,81.34,1270.16,Inorganic
8.65,496.67,11.56,3.42,0.1252,25.83,2.38,51.45,739.74,Organic
7.03,221.51,9.01,21.75,0.3489,37.32,1.92,38.49,1158.81,Inorganic
7.92,165.19,8.26,21.12,0.414,48.8,4.36,95.01,1187.87,Inorganic
8.38,137.83,13.02,13.32,0.424,23.33,0.66,73.27,728.15,Inorganic
7.89,484.59,7.95,6.3,0.2393,24.04,1.67,44.72,171.77,Organic
5.64,280.26,6.35,21.6,0.4691,26.77,4.13,1.94,1192.15,Inorganic
